State Code,State,Deaths,Population,Crude Rate,CASEID,MHINTAKE,MHDIAGEVAL,MHREFERRAL,TREATMT,ADMINSERV,SETTINGIP,SETTINGRC,SETTINGDTPH,SETTINGOP,FACILITYTYPE,FOCUS,OWNERSHP,PUBLICAGENCY,TREATPSYCHOTHRPY,TREATFAMTHRPY,TREATGRPTHRPY,TREATCOGTHRPY,TREATDIALTHRPY,TREATBEHAVMOD,TREATDUALMHSA,TREATTRAUMATHRPY,TREATACTVTYTHRPY,TREATELECTRO,TREATTELEMEDINCE,TREATPSYCHOMED,TREATOTH,NOTREAT,ASSERTCOMM,MHINTCASEMGMT,MHCASEMGMT,MHCOURTORDERED,MHCHRONIC,ILLNESSMGMT,PRIMARYCARE,DIETEXERCOUNSEL,FAMPSYCHED,MHEDUCATION,MHHOUSING,SUPPHOUSING,MHPSYCHREHAB,MHVOCREHAB,SUPPEMPLOY,FOSTERCARE,MHLEGAL,MHEMGCY,MHSUICIDE,MHCONSUMER,MHTOBACCOUSE,MHTOBACCOCESS,MHNICOTINEREP,SMOKINGCESSATION,MHOTH,MHNOSVCS,CHILDAD,ADOLES,YOUNGADULTS,ADULT,SENIORS,SED,TAYOUNGADULTS,SPMI,SRVC63,ALZHDEMENTIA,SRVC31,SPECGRPEATING,SRVC116,POSTTRAUM,TRAUMATICBRAIN,SRVC113,SRVC114,SRVC115,SRVC62,SRVC61,SRVC32,SRVC35,NOSPECGRP,CRISISTEAM2,HEARIMPAIR,LANG,LANGPROV,LANG16,LANG_B,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG24,LANG9,LANG10,LANG22,LANG25,LANG26,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SMOKINGPOLICY,FEESCALE,PAYASST,REVCHK1,REVCHK2,REVCHK8,REVCHK5,REVCHK10,FUNDSMHA,FUNDSTATEWELFARE,FUNDSTATEJUV,FUNDSTATEEDUC,FUNDOTHSTATE,FUNDLOCALGOV,FUNDCSBG,FUNDCMHG,REVCHK15,FUNDVA,REVCHK17,REVCHK2A,LICENMH,LICENSED,LICENPH,LICENSEDFCS,LICENHOS,JCAHO,CARF,COA,CMS,OTHSTATE,treat_agg,log_Deaths,rehab_agg
1,Alabama,425,4858979,8.747,201500098.20833334,0.8802083333333334,0.828125,0.8229166666666666,0.3125,0.546875,0.22395833333333334,0.22395833333333334,0.328125,0.578125,5.911458333333333,1.2447916666666667,2.359375,0.20833333333333334,0.90625,0.5520833333333334,0.8645833333333334,0.796875,0.3854166666666667,0.5260416666666666,0.359375,0.4114583333333333,0.4895833333333333,0.036458333333333336,0.3385416666666667,0.9114583333333334,0.015625,0.0,0.140625,0.2864583333333333,0.703125,0.5052083333333334,0.16666666666666666,0.328125,0.17708333333333334,0.328125,0.6041666666666666,0.2760416666666667,0.13020833333333334,0.18229166666666666,0.3541666666666667,0.026041666666666668,0.08854166666666667,0.015625,0.057291666666666664,0.3020833333333333,0.4895833333333333,0.08333333333333333,0.3177083333333333,0.24479166666666666,0.19270833333333334,0.15625,0.005208333333333333,0.036458333333333336,0.4375,0.4583333333333333,0.828125,0.8541666666666666,0.8697916666666666,0.3072916666666667,0.08333333333333333,0.6875,0.265625,0.171875,0.3072916666666667,0.036458333333333336,0.22395833333333334,0.203125,0.057291666666666664,0.11979166666666667,0.036458333333333336,0.07291666666666667,0.078125,0.171875,0.09375,0.010416666666666666,0.13020833333333334,0.5208333333333334,0.7447916666666666,0.53125,0.13541666666666666,-1.6510416666666667,-1.78125,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9739583333333333,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9791666666666667,-1.9739583333333333,1.8229166666666667,0.671875,0.6458333333333334,0.9322916666666666,0.8697916666666666,0.6614583333333334,0.9010416666666666,0.09895833333333333,0.296875,-0.3229166666666667,-0.34375,-0.4739583333333333,-0.265625,-0.0625,-0.4635416666666667,-0.19791666666666666,0.046875,-0.40625,-1.2083333333333333,-0.078125,0.8385416666666666,0.21875,0.21875,0.036458333333333336,0.11458333333333333,0.3072916666666667,0.0625,0.026041666666666668,0.4010416666666667,0.010416666666666666,0.5481770833333333,6.052089168924417,0.3819444444444444
2,Alaska,52,738432,7.042,201500247.9108911,0.8712871287128713,0.8910891089108911,0.8316831683168316,0.693069306930693,0.7920792079207921,0.0891089108910891,0.3069306930693069,0.07920792079207921,0.7425742574257426,6.534653465346534,1.891089108910891,2.00990099009901,-1.396039603960396,0.9504950495049505,0.8118811881188119,0.8910891089108911,0.9405940594059405,0.6534653465346535,0.7425742574257426,0.6534653465346535,0.8316831683168316,0.594059405940594,0.0,0.46534653465346537,0.6039603960396039,0.06930693069306931,0.0,0.10891089108910891,0.2079207920792079,0.8514851485148515,0.40594059405940597,0.15841584158415842,0.15841584158415842,0.22772277227722773,0.3564356435643564,0.6336633663366337,0.43564356435643564,0.12871287128712872,0.07920792079207921,0.6336633663366337,0.22772277227722773,0.1485148514851485,0.18811881188118812,0.0297029702970297,0.3465346534653465,0.5643564356435643,0.12871287128712872,0.5247524752475248,0.3564356435643564,0.16831683168316833,0.10891089108910891,0.0,0.0297029702970297,0.7524752475247525,0.8712871287128713,0.7920792079207921,0.6435643564356436,0.6138613861386139,0.6534653465346535,0.22772277227722773,0.4158415841584158,0.13861386138613863,0.06930693069306931,0.49504950495049505,0.0891089108910891,0.5247524752475248,0.4158415841584158,0.1782178217821782,0.15841584158415842,0.07920792079207921,0.12871287128712872,0.15841584158415842,0.12871287128712872,0.06930693069306931,0.019801980198019802,0.1188118811881188,0.594059405940594,0.39603960396039606,0.32673267326732675,-0.6039603960396039,-1.5544554455445545,-1.702970297029703,-1.7227722772277227,-1.7227722772277227,-1.7227722772277227,-1.7227722772277227,-1.683168316831683,-1.6732673267326732,-1.7227722772277227,-1.7128712871287128,-1.7227722772277227,-1.7227722772277227,-1.7227722772277227,-1.7227722772277227,-1.7227722772277227,-1.7128712871287128,-1.7227722772277227,-1.702970297029703,-1.7227722772277227,-1.702970297029703,-1.702970297029703,-1.7128712871287128,-1.7227722772277227,-1.702970297029703,-1.6534653465346534,-1.7227722772277227,-1.7128712871287128,1.3762376237623761,0.7623762376237624,0.6039603960396039,0.9108910891089109,0.9108910891089109,0.39603960396039606,0.9207920792079208,0.16831683168316833,0.1782178217821782,0.13861386138613863,0.0594059405940594,-0.32673267326732675,0.0,-0.21782178217821782,-0.5148514851485149,-0.25742574257425743,0.22772277227722773,-0.21782178217821782,-0.5544554455445545,-0.0891089108910891,0.6633663366336634,0.2871287128712871,0.44554455445544555,0.2376237623762376,0.06930693069306931,0.21782178217821782,0.36633663366336633,0.22772277227722773,0.297029702970297,0.0,0.6782178217821783,3.9512437185814275,0.5148514851485149
4,Arizona,249,6828065,3.647,201500490.86578947,0.7394736842105263,0.7236842105263158,0.631578947368421,0.7421052631578947,0.5973684210526315,0.0868421052631579,0.25,0.08157894736842106,0.718421052631579,7.057894736842106,2.1447368421052633,1.7105263157894737,-1.8263157894736841,0.8210526315789474,0.6736842105263158,0.8473684210526315,0.8184210526315789,0.4052631578947368,0.6710526315789473,0.5368421052631579,0.6210526315789474,0.40789473684210525,0.018421052631578946,0.32105263157894737,0.718421052631579,0.039473684210526314,0.02894736842105263,0.15,0.29210526315789476,0.6657894736842105,0.41842105263157897,0.23684210526315788,0.22631578947368422,0.2657894736842105,0.3394736842105263,0.5736842105263158,0.33157894736842103,0.2026315789473684,0.16578947368421051,0.4342105263157895,0.26842105263157895,0.2894736842105263,0.04473684210526316,0.05789473684210526,0.21842105263157896,0.42894736842105263,0.3078947368421053,0.3526315789473684,0.26842105263157895,0.12368421052631579,0.14210526315789473,0.018421052631578946,0.08947368421052632,0.49736842105263157,0.5447368421052632,0.85,0.8236842105263158,0.781578947368421,0.26842105263157895,0.3,0.5157894736842106,0.1763157894736842,0.05,0.5578947368421052,0.13157894736842105,0.4868421052631579,0.3815789473684211,0.11315789473684211,0.16842105263157894,0.09473684210526316,0.11842105263157894,0.2236842105263158,0.2026315789473684,0.14210526315789473,0.07631578947368421,0.13421052631578947,0.3236842105263158,0.6710526315789473,0.7368421052631579,1.3921052631578947,-0.07105263157894737,-0.6342105263157894,-1.763157894736842,-1.7763157894736843,-1.731578947368421,-1.7763157894736843,-1.7763157894736843,-1.768421052631579,-1.7473684210526317,-1.7736842105263158,-1.7736842105263158,-1.768421052631579,-1.7473684210526317,-1.763157894736842,-1.7789473684210526,-1.7736842105263158,-1.768421052631579,-1.7763157894736843,-1.7763157894736843,-1.7736842105263158,-1.7736842105263158,-1.7710526315789474,-1.7736842105263158,-1.7657894736842106,-1.7710526315789474,-1.763157894736842,-1.768421052631579,1.75,0.46578947368421053,0.33421052631578946,0.6131578947368421,0.5552631578947368,0.45,0.7526315789473684,0.17894736842105263,0.2894736842105263,0.11842105263157894,-0.021052631578947368,-0.35526315789473684,-0.21578947368421053,-0.23157894736842105,-0.2631578947368421,-0.05789473684210526,-0.1394736842105263,-0.39210526315789473,-0.5921052631578947,-0.04736842105263158,0.6157894736842106,0.2,0.7552631578947369,0.11842105263157894,0.05263157894736842,0.2,0.21578947368421053,0.05263157894736842,0.24473684210526317,0.04736842105263158,0.5717105263157894,5.517452896464707,0.36052631578947364
5,Arkansas,175,2978204,5.876,201500810.9243028,0.9402390438247012,0.9601593625498008,0.9362549800796812,0.3545816733067729,0.49800796812749004,0.1394422310756972,0.12749003984063745,0.3466135458167331,0.8366533864541833,7.191235059760956,1.2390438247011952,1.6852589641434264,-1.956175298804781,0.9800796812749004,0.8645418326693227,0.9601593625498008,0.896414342629482,0.5179282868525896,0.7330677290836654,0.450199203187251,0.6733067729083665,0.4581673306772908,0.02390438247011952,0.5298804780876494,0.9083665338645418,0.00398406374501992,0.00796812749003984,0.043824701195219126,0.12350597609561753,0.6414342629482072,0.4701195219123506,0.11553784860557768,0.3187250996015936,0.11553784860557768,0.14741035856573706,0.46215139442231074,0.2350597609561753,0.0398406374501992,0.08366533864541832,0.4342629482071713,0.01593625498007968,0.06374501992031872,0.0796812749003984,0.01195219123505976,0.4103585657370518,0.4900398406374502,0.05976095617529881,0.28286852589641437,0.22310756972111553,0.13545816733067728,0.0796812749003984,0.0,0.03187250996015936,0.7171314741035857,0.7250996015936255,0.7569721115537849,0.749003984063745,0.7370517928286853,0.5418326693227091,0.13147410358565736,0.5537848605577689,0.21115537848605578,0.08366533864541832,0.29880478087649404,0.07171314741035857,0.3386454183266932,0.26294820717131473,0.01195219123505976,0.027888446215139442,0.01593625498007968,0.06374501992031872,0.07569721115537849,0.19123505976095617,0.05976095617529881,0.00796812749003984,0.16334661354581673,0.8007968127490039,0.7250996015936255,0.6215139442231076,0.5059760956175299,-1.5856573705179282,-1.7250996015936255,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9840637450199203,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9840637450199203,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,-1.9880478087649402,1.6852589641434264,0.5537848605577689,0.5617529880478087,0.8844621513944223,0.9442231075697212,0.6693227091633466,0.9601593625498008,0.5139442231075697,0.12749003984063745,0.10358565737051793,-0.08764940239043825,-0.4581673306772908,-0.32669322709163345,-0.41434262948207173,-0.29880478087649404,-0.04780876494023904,0.4063745019920319,-0.4063745019920319,-1.0836653386454183,-0.0199203187250996,0.6892430278884463,0.18326693227091634,0.4103585657370518,0.22310756972111553,0.05976095617529881,0.350597609561753,0.5139442231075697,0.0398406374501992,0.44223107569721115,0.02390438247011952,0.6663346613545816,5.1647859739235145,0.44488711819389115
6,California,1433,39144818,3.661,201501451.8031496,0.9167604049493814,0.9100112485939258,0.8470191226096738,0.4499437570303712,0.6737907761529809,0.14173228346456693,0.19347581552305962,0.15410573678290213,0.7739032620922385,7.013498312710911,1.357705286839145,2.137232845894263,-0.6400449943757031,0.8875140607424072,0.625421822272216,0.8391451068616423,0.8728908886389202,0.4668166479190101,0.6006749156355455,0.4859392575928009,0.6782902137232846,0.46906636670416196,0.03374578177727784,0.16647919010123735,0.7907761529808774,0.0359955005624297,0.012373453318335208,0.12485939257592801,0.30821147356580425,0.7874015748031497,0.2755905511811024,0.11811023622047244,0.19347581552305962,0.2013498312710911,0.2249718785151856,0.6434195725534309,0.2677165354330709,0.2722159730033746,0.17885264341957255,0.5703037120359955,0.1844769403824522,0.16535433070866143,0.06411698537682789,0.05736782902137233,0.21034870641169853,0.4544431946006749,0.2879640044994376,0.3093363329583802,0.21484814398200225,0.1327334083239595,0.0798650168728909,0.03487064116985377,0.012373453318335208,0.5208098987626547,0.5770528683914511,0.8357705286839145,0.718785151856018,0.5894263217097863,0.3712035995500562,0.34758155230596177,0.5331833520809899,0.24971878515185603,0.031496062992125984,0.5185601799775028,0.11473565804274466,0.5129358830146231,0.44769403824521936,0.04049493813273341,0.11923509561304838,0.04161979752530934,0.07874015748031496,0.2249718785151856,0.19797525309336333,0.10123734533183353,0.0686164229471316,0.10348706411698538,0.484814398200225,0.5073115860517435,0.8335208098987626,1.6051743532058493,0.3014623172103487,-0.1597300337457818,-1.2699662542182226,-1.2699662542182226,-1.2688413948256467,-1.2699662542182226,-1.2699662542182226,-1.2688413948256467,-1.2272215973003375,-1.1136107986501687,-1.265466816647919,-1.1631046119235096,-1.2339707536557931,-1.249718785151856,-1.2609673790776152,-1.2440944881889764,-1.2272215973003375,-1.2260967379077616,-1.2609673790776152,-1.235095613048369,-1.1923509561304837,-1.2609673790776152,-1.2530933633295838,-1.1946006749156355,-1.1316085489313836,-1.1496062992125984,-1.2002249718785152,1.6771653543307086,0.4229471316085489,0.5421822272215973,0.5253093363329584,0.36332958380202474,0.484814398200225,0.6231721034870641,-0.08998875140607424,0.03262092238470191,-0.08773903262092239,-0.23509561304836896,-0.35095613048368957,-0.33070866141732286,0.26659167604049494,-0.5163104611923509,-0.532058492688414,-0.25646794150731156,-0.37907761529808776,-0.7300337457817773,-0.06299212598425197,0.5511811023622047,0.09786276715410573,0.3689538807649044,0.11923509561304838,0.06974128233970754,0.1766029246344207,0.05849268841394826,0.025871766029246346,0.281214848143982,0.09336332958380203,0.5763967004124485,7.267525427828172,0.4116985376827897
8,Colorado,148,5456574,2.712,201501941.9030612,0.8724489795918368,0.8724489795918368,0.826530612244898,0.7193877551020408,0.7244897959183674,0.11734693877551021,0.2602040816326531,0.1326530612244898,0.7551020408163265,5.9438775510204085,2.1479591836734695,1.9846938775510203,-1.8010204081632653,0.9387755102040817,0.7806122448979592,0.9438775510204082,0.9030612244897959,0.7959183673469388,0.7193877551020408,0.6020408163265306,0.8622448979591837,0.4030612244897959,0.030612244897959183,0.37244897959183676,0.7704081632653061,0.08673469387755102,0.015306122448979591,0.29591836734693877,0.37755102040816324,0.8724489795918368,0.5510204081632653,0.21428571428571427,0.2602040816326531,0.22959183673469388,0.24489795918367346,0.6275510204081632,0.32653061224489793,0.3112244897959184,0.1836734693877551,0.3673469387755102,0.2755102040816326,0.17857142857142858,0.04081632653061224,0.01020408163265306,0.32142857142857145,0.5969387755102041,0.29591836734693877,0.46938775510204084,0.3877551020408163,0.2755102040816326,0.17857142857142858,0.015306122448979591,0.02040816326530612,0.6326530612244898,0.6989795918367347,0.8214285714285714,0.7908163265306123,0.7346938775510204,0.45918367346938777,0.2653061224489796,0.5204081632653061,0.2193877551020408,0.10204081632653061,0.5816326530612245,0.10204081632653061,0.5867346938775511,0.5357142857142857,0.10714285714285714,0.14285714285714285,0.07653061224489796,0.14285714285714285,0.1989795918367347,0.22448979591836735,0.08673469387755102,0.030612244897959183,0.10204081632653061,0.7244897959183674,0.6428571428571429,0.7091836734693877,1.1785714285714286,-0.4846938775510204,-0.923469387755102,-1.8622448979591837,-1.8673469387755102,-1.8673469387755102,-1.8622448979591837,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8214285714285714,-1.816326530612245,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8622448979591837,-1.8673469387755102,-1.8622448979591837,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8673469387755102,-1.8622448979591837,1.4387755102040816,0.7448979591836735,0.6122448979591837,0.9489795918367347,0.923469387755102,0.7602040816326531,0.9489795918367347,0.1836734693877551,0.41836734693877553,0.41836734693877553,0.29081632653061223,-0.27040816326530615,-0.08673469387755102,0.336734693877551,-0.2857142857142857,-0.04081632653061224,0.23469387755102042,-0.42857142857142855,-0.9540816326530612,-0.01020408163265306,0.8928571428571429,0.5816326530612245,0.6020408163265306,0.1836734693877551,0.04081632653061224,0.14285714285714285,0.0,0.08163265306122448,0.3877551020408163,-0.00510204081632653,0.6768707482993198,4.997212273764115,0.4285714285714286
9,Connecticut,82,3590886,2.284,201502163.23012552,0.9163179916317992,0.8870292887029289,0.7615062761506276,0.6903765690376569,0.5648535564853556,0.1297071129707113,0.1799163179916318,0.19665271966527198,0.7907949790794979,7.422594142259414,2.0418410041841004,2.075313807531381,-1.5815899581589958,0.8702928870292888,0.7447698744769874,0.8786610878661087,0.8828451882845189,0.5146443514644351,0.5062761506276151,0.5355648535564853,0.7447698744769874,0.3138075313807531,0.03347280334728033,0.012552301255230125,0.8786610878661087,0.012552301255230125,0.0041841004184100415,0.07112970711297072,0.15481171548117154,0.5271966527196653,0.33472803347280333,0.1589958158995816,0.21338912133891214,0.21338912133891214,0.2175732217573222,0.6234309623430963,0.20920502092050208,0.15481171548117154,0.11715481171548117,0.2175732217573222,0.14644351464435146,0.1506276150627615,0.02092050209205021,0.03765690376569038,0.19246861924686193,0.3054393305439331,0.1589958158995816,0.46443514644351463,0.39748953974895396,0.28870292887029286,0.25523012552301255,0.012552301255230125,0.06276150627615062,0.47280334728033474,0.5690376569037657,0.8410041841004184,0.8117154811715481,0.7615062761506276,0.29707112970711297,0.2384937238493724,0.41841004184100417,0.20502092050209206,0.04602510460251046,0.5439330543933054,0.12133891213389121,0.5564853556485355,0.401673640167364,0.12552301255230125,0.09623430962343096,0.06276150627615062,0.0794979079497908,0.19665271966527198,0.1589958158995816,0.10460251046025104,0.07112970711297072,0.13389121338912133,0.3598326359832636,0.3305439330543933,0.5857740585774058,0.39748953974895396,-0.5230125523012552,-0.899581589958159,-1.6903765690376569,-1.6903765690376569,-1.6903765690376569,-1.6903765690376569,-1.6903765690376569,-1.6903765690376569,-1.6736401673640167,-1.6778242677824269,-1.6527196652719665,-1.6861924686192469,-1.6610878661087867,-1.6778242677824269,-1.6861924686192469,-1.6861924686192469,-1.6861924686192469,-1.6903765690376569,-1.6694560669456067,-1.6820083682008369,-1.6778242677824269,-1.6276150627615062,-1.6276150627615062,-1.6820083682008369,-1.6903765690376569,-1.6778242677824269,-1.6736401673640167,1.5690376569037656,0.6736401673640168,0.5146443514644351,0.8200836820083682,0.7280334728033473,0.5690376569037657,0.9163179916317992,0.36401673640167365,0.29707112970711297,0.1506276150627615,-0.14225941422594143,-0.4769874476987448,-0.21338912133891214,-0.32217573221757323,-0.4435146443514644,-0.4351464435146444,-0.19246861924686193,-0.5481171548117155,-0.9665271966527197,-0.07112970711297072,0.5062761506276151,0.3054393305439331,0.7698744769874477,0.4686192468619247,0.11297071129707113,0.497907949790795,0.0794979079497908,0.14644351464435146,0.4476987447698745,0.029288702928870293,0.5763598326359832,4.406719247264253,0.2384937238493724
10,Delaware,55,945934,5.814,201502298.76666668,0.8666666666666667,0.9,0.8,0.5666666666666667,0.7333333333333333,0.2,0.26666666666666666,0.23333333333333334,0.6,6.1,1.6,2.066666666666667,-1.5333333333333334,0.9,0.6666666666666666,0.7666666666666667,0.9,0.4666666666666667,0.6666666666666666,0.6,0.9,0.43333333333333335,0.1,0.13333333333333333,0.9333333333333333,0.1,0.0,0.16666666666666666,0.1,0.43333333333333335,0.26666666666666666,0.2,0.2,0.36666666666666664,0.3,0.6666666666666666,0.36666666666666664,0.2,0.16666666666666666,0.3333333333333333,0.2,0.23333333333333334,0.03333333333333333,0.1,0.3333333333333333,0.43333333333333335,0.23333333333333334,0.4,0.3333333333333333,0.2,0.23333333333333334,0.0,0.0,0.4,0.5333333333333333,0.8333333333333334,0.7333333333333333,0.7,0.43333333333333335,0.26666666666666666,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.43333333333333335,0.23333333333333334,0.5,0.4,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.26666666666666666,0.3,0.1,0.26666666666666666,0.0,0.2,0.4666666666666667,0.6666666666666666,0.7,1.1,-0.6,-0.9666666666666667,-1.8,-1.8,-1.8,-1.7666666666666666,-1.8,-1.8,-1.8,-1.8,-1.7666666666666666,-1.8,-1.8,-1.8,-1.8,-1.8,-1.7666666666666666,-1.8,-1.8,-1.8,-1.7666666666666666,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,1.4333333333333333,0.5,0.6333333333333333,0.6666666666666666,0.7,0.6666666666666666,0.9666666666666667,0.3333333333333333,-0.1,-0.06666666666666667,-0.16666666666666666,-0.4666666666666667,0.4666666666666667,0.16666666666666666,-1.1666666666666667,-1.0,0.23333333333333334,-1.0,-1.6,0.0,0.6333333333333333,0.3,0.4,0.36666666666666664,0.16666666666666666,0.43333333333333335,0.36666666666666664,0.26666666666666666,0.3333333333333333,0.0,0.6222222222222223,4.007333185232471,0.3666666666666667
11,District of Columbia,105,672228,15.620,201502333.0,0.918918918918919,0.918918918918919,0.7297297297297297,0.5135135135135135,0.7297297297297297,0.1891891891891892,0.13513513513513514,0.21621621621621623,0.7837837837837838,7.054054054054054,1.6486486486486487,1.945945945945946,-1.5675675675675675,0.9459459459459459,0.6216216216216216,0.8648648648648649,0.8918918918918919,0.2972972972972973,0.5405405405405406,0.5675675675675675,0.6756756756756757,0.35135135135135137,0.05405405405405406,0.10810810810810811,0.8648648648648649,0.0,-0.02702702702702703,0.16216216216216217,0.1891891891891892,0.3783783783783784,0.32432432432432434,0.1891891891891892,0.21621621621621623,0.32432432432432434,0.40540540540540543,0.4864864864864865,0.2972972972972973,0.2702702702702703,0.21621621621621623,0.40540540540540543,0.13513513513513514,0.2702702702702703,0.05405405405405406,0.08108108108108109,0.21621621621621623,0.40540540540540543,0.1891891891891892,0.43243243243243246,0.35135135135135137,0.16216216216216217,0.13513513513513514,0.02702702702702703,0.10810810810810811,0.43243243243243246,0.4594594594594595,0.918918918918919,0.8648648648648649,0.8108108108108109,0.2972972972972973,0.21621621621621623,0.5405405405405406,0.40540540540540543,0.05405405405405406,0.6216216216216216,0.10810810810810811,0.5675675675675675,0.43243243243243246,0.05405405405405406,0.16216216216216217,0.02702702702702703,0.08108108108108109,0.3783783783783784,0.1891891891891892,0.2972972972972973,0.08108108108108109,0.13513513513513514,0.3783783783783784,0.40540540540540543,0.7027027027027027,0.8918918918918919,-0.4594594594594595,-0.7297297297297297,-1.5135135135135136,-1.5135135135135136,-1.5135135135135136,-1.5135135135135136,-1.5135135135135136,-1.5135135135135136,-1.4864864864864864,-1.4324324324324325,-1.4594594594594594,-1.4054054054054055,-1.3783783783783783,-1.4594594594594594,-1.5135135135135136,-1.5135135135135136,-1.4864864864864864,-1.5135135135135136,-1.5135135135135136,-1.4864864864864864,-1.5135135135135136,-1.5135135135135136,-1.4324324324324325,-1.4594594594594594,-1.4864864864864864,-1.5135135135135136,-1.4864864864864864,1.7027027027027026,0.40540540540540543,0.5135135135135135,0.5945945945945946,0.43243243243243246,0.5945945945945946,0.8918918918918919,0.21621621621621623,0.32432432432432434,0.08108108108108109,-0.13513513513513514,-0.10810810810810811,-0.16216216216216217,0.10810810810810811,-0.16216216216216217,-0.05405405405405406,0.13513513513513514,-0.21621621621621623,-0.8918918918918919,0.02702702702702703,0.6756756756756757,0.24324324324324326,0.2972972972972973,0.1891891891891892,0.13513513513513514,0.16216216216216217,-0.02702702702702703,0.0,0.4594594594594595,-0.02702702702702703,0.5653153153153153,4.653960350157523,0.3423423423423424
12,Florida,913,20271272,4.504,201502688.7361963,0.8650306748466258,0.8609406952965235,0.7525562372188139,0.5664621676891616,0.5848670756646217,0.2147239263803681,0.20449897750511248,0.17791411042944785,0.7402862985685071,6.458077709611452,1.67280163599182,1.83640081799591,-1.687116564417178,0.8732106339468303,0.6257668711656442,0.803680981595092,0.820040899795501,0.3885480572597137,0.5766871165644172,0.5439672801635992,0.6666666666666666,0.4437627811860941,0.06952965235173825,0.11860940695296524,0.7791411042944786,0.028629856850715747,0.00408997955010225,0.09202453987730061,0.147239263803681,0.6196319018404908,0.3946830265848671,0.12883435582822086,0.16973415132924335,0.17586912065439672,0.20245398773006135,0.4785276073619632,0.2147239263803681,0.12269938650306748,0.10429447852760736,0.3312883435582822,0.08384458077709611,0.07566462167689161,0.06134969325153374,0.03885480572597137,0.2719836400817996,0.4396728016359918,0.1554192229038855,0.38650306748466257,0.25153374233128833,0.1983640081799591,0.11860940695296524,0.044989775051124746,0.03885480572597137,0.5685071574642127,0.5991820040899796,0.8711656441717791,0.852760736196319,0.7995910020449898,0.2903885480572597,0.16155419222903886,0.4601226993865031,0.24539877300613497,0.05521472392638037,0.5153374233128835,0.09406952965235174,0.4212678936605317,0.3824130879345603,0.05930470347648262,0.17586912065439672,0.08997955010224949,0.130879345603272,0.21267893660531698,0.22903885480572597,0.14314928425357873,0.049079754601226995,0.16359918200409,0.3721881390593047,0.8098159509202454,0.7464212678936605,1.2392638036809815,-0.2331288343558282,-0.5644171779141104,-1.4539877300613497,-1.4539877300613497,-1.4539877300613497,-1.456032719836401,-1.4539877300613497,-1.456032719836401,-1.4498977505112474,-1.4458077709611452,-1.261758691206544,-1.4498977505112474,-1.3824130879345604,-1.4417177914110428,-1.4519427402862985,-1.4376278118609407,-1.4355828220858895,-1.4539877300613497,-1.4376278118609407,-1.4519427402862985,-1.4539877300613497,-1.4458077709611452,-1.4192229038854807,-1.4192229038854807,-1.4396728016359919,-1.4417177914110428,-1.4376278118609407,1.6196319018404908,0.6503067484662577,0.5685071574642127,0.8241308793456033,0.7321063394683026,0.49897750511247446,0.7586912065439673,-0.05725971370143149,0.17791411042944785,0.07975460122699386,-0.18200408997955012,-0.4458077709611452,-0.2229038854805726,0.028629856850715747,-0.50920245398773,-0.3558282208588957,0.08384458077709611,-0.3210633946830266,-1.0920245398773005,-0.03680981595092025,0.4110429447852761,0.3558282208588957,0.37627811860940696,0.6421267893660532,0.17177914110429449,0.40286298568507156,0.3476482617586912,0.10429447852760736,0.4110429447852761,0.07975460122699386,0.5591342876618951,6.816735880594968,0.3476482617586912
